TCID,Summary,Action,types,Expected Results,Actual Result,Status,Priority,Requirement Traceability,Bug Traceability
1,Verify artical post only,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Write article post
4-press post",Manual,"the post must be appear
in my account facebook 
with public audience","the post be appear
in my account facebook 
with public audience",,,,
2,Verify artical post with select background color,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on the Background colour button
4-nafigate to all backgrounds that appears and choose one of them
5-Write article post
6-press post",Manual,"the new background appear
on the post field after clicking on it","the new background appear
on the post field after clicking on it",,,,
3,Verify artical post with select layout from gallery,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on left Green button
4-choose layout from your Gallery
5-Write article post
6-press post",Manual,"1-imags from the Gellary
must appear
2-the layout selected must be appear on the post field","1-imags from the Gellary
must appear
2-the layout selected must be appear on the post field",,,,
4,Verify artical post with select multiple layout from gallery with Classic layout,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on left Green button
4-click on ""Select Multiple""button
5-choose three layout from gallery
6-click next
7-choose Classic layout
8-Write article post
9-press post",Manual,muliple images selected must be appear on the post field with classic layout,muliple images selected  appear on the post field with classic layout,,,,
5,Verify artical post with select multiple layout from gallery with add columns layout,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on left Green button
4-click on ""Select Multiple""button
5-choose three layout from gallery
6-click next
7-choose Columns layout
8-Write article post
9-press post",Manual,muliple images selected must be appear on the post field with Column layout,muliple images selected  appear on the post field with Column layout,,,,
6,Verify artical post with select multiple layout from gallery with add Banner layout,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on left Green button
4-click on ""Select Multiple""button
5-choose three layout from gallery
6-click next
7-choose Banner layout",Manual,muliple images selected must be appear on the post field with Banner layout,muliple images selectede appear on the post field with Banner layout,,,,
7,Verify artical post with select multiple layout from gallery with add Frame layout,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on left Green button
4-click on ""Select Multiple""button
5-choose three layout from gallery
6-click next
7-choose Frame layout
8-Write article post
9-press post",Manual,muliple images selected must be appear on the post field with Frame layout,muliple images selected  appear on the post field with Frame layout,,,,
8,Verify artical post with Tag friends only,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-write article post
6-press post",Manual,"the post must be appear
in the selected friend account","the post  appear
in the selected friend account",,,,
9,Verify artical post with Tag friends and adding BackGround,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-press back arrow
6-write post
7-choose backGroung
8-press post",Manual,"the post must be appear
in the selected friend account with add BackGround","the post appear
in the selected friend account with add BackGround",,,,
10,Verify artical post with Tag friends By using Search Field,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-write name of friend in search field
5-select the wanted name from result
6-press back arrow
7-write article post
8-press post",Manual,"the post must be appear
in the selected friend account","the post appear
in the selected friend account",,,,
11,Verify artical post with Tag friends and adding FEELINGS/ ACTIVITY,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-add feeling/activity
6-write article post
7-press post",Manual,"the post must be appear
in the selected friend account
","the post appear
in the selected friend account
",,,,
12,Verify artical post with Tag people/friends and adding current location,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-click on current location
6-write post
7-press post",Manual,"the post must be appear
in the selected friend account
in current location","the post appear
in the selected friend account
in current location",,,,
13,Verify artical post with Tag people/friends and add location from suggestions ,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-choose ""15 may city"" from suggestions
6-write post
7-press post",Manual,"the post must be appear
in the selected friend account
in suggestion location","the post appear
in the selected friend account
in suggestion location",,,,
14,Verify artical post with Tag people/friends and search from location,"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-Click on Tag Friends
4-Select friend/friends
5-Write""Helwan""in search field to search from specific location
6-write post
7-press post",Manual,"the post must be appear
in the selected friend account
in Helwan    ","the post appear
in the selected friend account
in Helwan    ",,,,
15,verify artical post with add location (current location),"1-Open the Facebook mobileapplication
2-Click on ""what's on your mind"" 
3-click on location icon
4-choose current location
5-write post
6-press post",Manual,"the post must be appear
in friend account
in current location","the post appear
in friend account
in current location",,,,
