TCID,Summary,Action,types,Expected Results,Actual Result,Status,Priority,Requirement Traceability,Bug Traceability
1,Verify adding text with simple font,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
4-write""welcom""
5-click Share",Manual,"write""welcom"" in start
 typing screen with simple font","write""welcom"" in start
 typing screen with simple font",,,FR2:2.2  check user can add Text story,
2,Verify adding text with clean font,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose clean font
4-write""welcom""
5-click Share",Manual,"write""welcom"" in start
 typing screen with clean font","write""welcom"" in start
 typing screen with clean font",,,FR2:2.2  check user can add Text story,
3,Verify adding text with casual font,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose casual font
5-write""welcom""
6-click Share",Manual,"write""welcom"" in start 
typing screen with casual font","write""welcom"" in start 
typing screen with casual font",,,FR2:2.2  check user can add Text story,
4,Verify adding text with Fancy font,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose Fancy font
5-write""welcom""
6-click Share",Manual,"write""welcom"" in start 
typing screen with Fancy font","write""welcom"" in start 
typing screen with Fancy font",,,FR2:2.2  check user can add Text story,
5,Verify adding text with Heading font,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose Heading font
5-write""welcom""
6-click Share",Manual,"write""welcom"" in start 
typing screen with Heading font","write""welcom"" in start 
typing screen with Heading font",,,FR2:2.2  check user can add Text story,
6,verify adding text with simple font and first color,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
5-click on color icon
6-choose the first color
",Manual,"write""welcom"" in start 
typing screen with simple 
font and with color that choosed","write""welcom"" in start 
typing screen with simple 
font and with color that choosed",,,FR2:2.2  check user can add Text story,
7,verify adding text with simple font and second color,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
5-click on color icon
6-choose the second color",Manual,"write""welcom"" in start 
typing screen with simple 
font and with color that choosed","write""welcom"" in start 
typing screen with simple 
font and with color that choosed",,,FR2:2.2  check user can add Text story,
8,verify adding text with simple font and third color,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
5-click on color icon
6-choose the third color
7-click Share",Manual,"write""welcom"" in start 
typing screen with simple 
font and with color that choosed","write""welcom"" in start 
typing screen with simple 
font and with color that choosed",,,FR2:2.2  check user can add Text story,
9,verify adding text with simple font and fourth color,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
5-click on color icon
6-choose the fourth color",Manual,"write""welcom"" in start 
typing screen with simple 
font and with color that choosed","write""welcom"" in start 
typing screen with simple 
font and with color that choosed",,,FR2:2.2  check user can add Text story,
10,verify adding text with simple font and fifth color,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on text category
4-choose simple font
5-click on color icon
6-choose the fifth color
7-click Share",Manual,"write""welcom"" in start 
typing screen with simple 
font and with color that choosed","write""welcom"" in start 
typing screen with simple 
font and with color that choosed",,,FR2:2.2  check user can add Text story,
