TCID,Summary,Action,types,Expected Results,Actual Result,Status,Priority,Requirement Traceability,Bug Traceability
1,Verify can navigate to chatting room with specific member in messenger,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of specific member
",Manual,"must open chatting room
with specific member","must open chatting room
with specific member",Pass,p1,,
2,verify to scrool up and down the screen of members appear in messanger,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-can scrool up and down inside screen
",Manual,"can do scrool up and down
the screen of members appear in messanger smozly","can do scrool up and down
the screen of members appear in messanger smozly",Pass,p1,,
3,Verify can typing message in specific member then send it,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
",Manual,"the message must writing 
then send on member","the message must writing 
then send on member",Pass,p1,,
4,verify to send the okey mark in specific member,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on okey mark
5-press send icon
",Manual,"the mark of okey hand send 
",the mark of okey hand send successfully,Pass,p1,,
5,Verify after typing message in specific member then send it have correct mark,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-write""hellow""
5-press send icon
",Manual,"the message must writing 
then send on member also 
have  correct mark","the message must writing 
then send on member also 
have  correct mark",Pass,p1,,
6,"Verify after send message in specific member and seen ,have the seen mark","1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-write""hellow""
5-press send icon",Manual,the message must  have the mark of seen when member see it,"the message must  have
 the mark of seen when member see it",Pass,p1,,
7,Verify can choose motion in specific member then send it,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on motion icon 
5-choose smail motion
6-press send
",Manual,the motion must sent ,the motion must send successfully,Pass,p1,,
8,Verify to search about stickers by using Search stickers,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on motion icon 
5-click on search stickers
6-write""heart""on search field
7-choose one from search result
8-click send icon",Manual,the motion must sent ,the motion must send successfully,Pass,p1,,
9,verify to out from member conversation when click back arrow,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on back arrow on the above lift side of screen",Manual,"out from member 
conversation","out from member conversation
done successfully",Pass,p1,,
10,Verify can choose image from category and send to specific member then send it,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on galary icon
5-select image
6-click send",Manual,the image must sent ,the image must send,Pass,p1,,
11,"Verify can open back camera in specific member and used it
to take photo ","1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5-use back camera
6-capture photo
7-click send icon",Manual,the image must sent ,the image must send,Pass,p1,,
12,"Verify can open back camera in specific member and used it
to take photo and save it in phone","1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5-use back camera
6-capture photo
7-press save button
7-click send icon",Manual,"the image must saved in 
mobile and send","the image must saved
in Mobile",Pass,p1,,
13,"Verify can open selfie camera in specific member and used it
to take photo","1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5-use selfie camera
6-capture photo
7-click send icon",Manual,"the image must send
successfully","the image must send
successfully",Pass,p1,,
14,"Verify can open selfie camera in specific member and used it
to take photo and save it in phone","1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5-use selfie camera
6-capture photo
7-press save button
7-click send icon",Manual,"the image save and send 
must send successfully","the image must save and send
successfully",Pass,p1,,
15,Verify can open TEXT feature from camera after take aphoto in specific member and write text with classic font,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5- CLICK ON NORMAL BUTTON
4-click on TEXT ICON
5-write""Ramadan Careem"" with classic font
6-press DONE button
7-press send",Manual,"the text must be written on 
screen with classic font","the text must be written on 
screen with classic font",Pass,p1,,
16,Verify can open TEXT feature from camera after take aphoto in specific member and write text with MODERN font,"1-Open the Facebook mobileapplication
2-Click on Messanger Icon
3-navigate to chatting room of member
4-click on camera icon
5- CLICK ON NORMAL BUTTON
6-click on TEXT ICON
7-write""Ramadan Careem"" with MODERN font
8-press DONE button
9-press send",Manual,"the text must be written on 
screen with Modern font","the text must be written on 
screen with Modern font",Pass,p1,,
